x-axis,y-axis,z-axis,xg-axis,yg-axis,zg-axis,activity
0.3411,0.0377,1.1033,5.1829,7.561,4.8171,1
0.2944,0.0048,1.0624,0.7317,3.8415,6.5244,1
0.3151,0.0256,1.0333,-4.0244,-8.1098,8.1707,1
0.3524,0.0038,0.9205,-6.4634,-17.1341,9.7561,1
0.3706,-0.0228,0.8443,-7.6829,-21.8293,9.0854,1
0.27399999999999997,0.0081,0.8992,-2.1341,-22.3171,7.8049,1
0.2787,0.0667,0.9005,-4.7561,-9.2683,0.5488,1
0.2999,0.0129,0.9051,-3.8415,-6.7683,0.0,1
0.3647,0.043,0.9648,-3.6585,-5.0,-5.4878,1
0.4382,0.0184,1.0223,-4.2073,-2.6829,-11.2805,1
0.5,0.0178,1.0753,-3.1098,-3.4146,-16.5244,1
0.499,0.0299,1.0765,-2.9268,-1.7683,-18.9634,1
0.4368,0.027000000000000003,1.0311,-3.9024,-1.2805,-21.3415,1
0.3561,0.0224,0.9546,-5.6707,-7.439,-20.9146,1
0.3625,0.0377,0.9221,-6.5244,-19.939,-19.4512,1
0.3486,0.0546,0.9443,-6.5854,-30.9756,-17.9268,1
0.3085,0.0674,0.9462,-8.7805,-35.7317,-17.622,1
0.2799,0.0969,0.9297,-10.9146,-39.878,-20.3659,1
0.2742,0.0996,0.8976,-11.5244,-46.5854,-22.439,1
0.3334,0.0951,0.8615,-14.3293,-52.5,-19.2683,1
0.2722,0.1367,0.8463,-15.6098,-54.3902,-16.0366,1
0.2041,0.1726,0.7845,-15.4268,-59.0854,-16.8293,1
0.2293,0.1998,0.6903,-19.0854,-76.0976,-18.1098,1
0.2921,0.2057,0.6119,-23.6585,-105.0,-14.878,1
0.4757,0.2447,0.6151,-27.8049,-133.4756,-12.6829,1
0.8506,0.3451,0.863,-32.561,-152.3171,-14.6341,1
1.1691,0.4355,1.2047,-44.4512,-153.7195,-20.4878,1
1.1402,0.368,1.3661,-58.9024,-128.2317,-37.561,1
0.9616,0.2795,1.3679,-82.3781,-68.2927,-54.5732,1
0.8821,0.2465,1.2988,-108.7805,-6.8902,-60.4268,1
0.9219,0.1374,1.2515,-136.9512,37.8659,-71.8902,1
0.8776,-0.0023,1.3461,-161.7073,74.2683,-88.2317,1
0.8629,-0.1138,1.4899,-171.2195,105.7317,-103.4756,1
1.0267,-0.1995,1.2781,-160.9756,143.9024,-124.1463,1
0.948,-0.3031,0.9535,-134.0854,201.1585,-142.2561,1
0.4498,-0.3176,0.6476,-88.4756,260.5488,-161.2805,1
-0.0361,-0.4272,0.4579,-44.4512,268.6585,-177.9268,1
-0.2922,-0.4635,0.3013,-14.2683,206.0366,-177.6829,1
-0.2899,-0.4095,0.1516,7.561,109.4512,-164.3293,1
-0.1523,-0.3625,-0.0032,29.4512,23.4756,-146.8902,1
0.0881,-0.2684,0.1951,47.0732,-28.5976,-118.7195,1
0.8677,-0.0605,0.5279,60.4268,-57.8659,-76.9512,1
1.053,0.0377,0.9088,52.8659,-65.7927,-32.0122,1
0.3748,-0.2789,1.0052,29.6951,-25.3659,-0.4878,1
0.4628,-0.2397,1.2273,-9.5732,-1.0366,8.9024,1
0.6296,-0.1453,1.2729,-17.1951,-42.9878,6.1585,1
0.4778,-0.2121,1.1519,-14.5122,-70.9146,11.6463,1
0.37799999999999995,-0.2526,1.0773,-11.4024,-88.5366,15.1829,1
0.3853,-0.2102,1.0217,-6.2805,-119.0244,16.6463,1
0.4692,-0.1788,0.9799,-2.8049,-145.7927,20.122,1
0.5307,-0.1777,0.9143,-1.5854,-157.6829,23.0488,1
0.3471,-0.1943,0.8177,-2.5610000000000004,-151.8902,21.8902,1
0.3259,-0.1893,0.7468,-7.0732,-138.4756,18.5976,1
0.433,-0.1149,0.7069,-9.1463,-140.9146,16.2805,1
0.3945,-0.0571,0.6882,-7.622000000000001,-140.6707,10.6707,1
0.2402,-0.0652,0.6679999999999999,-5.8537,-124.2073,1.5244,1
0.2192,-0.071,0.662,-1.7683,-114.939,-4.8171,1
0.3845,-0.0593,0.6483,4.5122,-134.939,-4.6951,1
0.7303,-0.0269,0.6933,9.3293,-169.1463,0.2439,1
0.8971,0.0958,0.7926,10.1829,-190.4268,4.3902,1
0.8111,0.1405,0.8439,5.5488,-179.2683,2.1951,1
0.9224,0.153,0.8987,-9.2683,-152.561,2.0732,1
0.6186,0.0657,0.8421,-30.2439,-131.4634,10.4268,1
0.442,-0.0441,0.7183,-51.8293,-113.9634,14.5732,1
0.7629,-0.0236,0.6691,-55.9146,-145.8537,11.6463,1
0.9828,-0.025,0.6822,-52.1951,-195.0,13.3537,1
1.1342,-0.0629,0.6354,-55.3049,-212.0732,15.9756,1
1.1506,-0.0313,0.5604,-51.4634,-199.93900000000002,15.061,1
1.0587,-0.059000000000000004,0.4783,-39.2683,-172.6219,12.8049,1
0.9344,-0.0876,0.3738,-33.9634,-146.6463,12.561,1
0.8113,-0.061,0.278,-30.122,-127.9268,13.0488,1
0.7568,-0.0403,0.1915,-29.7561,-124.5732,17.0732,1
0.7954,-0.0641,0.2104,-31.7683,-137.7439,19.6341,1
0.9509,-0.0899,0.272,-33.3537,-158.9024,25.6098,1
1.1283,-0.0595,0.2903,-30.6098,-169.93900000000002,32.9268,1
1.2337,-0.0394,0.3482,-25.7317,-157.7439,36.7073,1
1.2324,-0.0668,0.4025,-24.3902,-132.1342,34.6951,1
1.1164,-0.125,0.4005,-18.2927,-102.7439,30.6098,1
