x-axis,y-axis,z-axis,xg-axis,yg-axis,zg-axis,activity
0.1047,-0.024,0.0668,5.4878,32.378,-3.7805,1
0.1056,-0.0257,0.0636,3.9634,30.3049,-2.9878,1
0.1049,-0.0219,0.0593,3.1707,19.939,-7.8049,1
0.0994,-0.0189,0.059000000000000004,2.378,9.6951,-11.0366,1
0.0999,-0.0201,0.0676,0.122,-1.9512,-8.4146,1
0.10800000000000001,-0.021,0.0767,-4.6951,-22.3171,-2.5,1
0.12,-0.0225,0.0717,-5.7927,-27.1951,-4.3902,1
0.1237,-0.0267,0.0581,-4.3293,-13.4146,-7.5,1
0.1203,-0.0336,0.0464,-3.0488,-4.8171,-7.0122,1
0.1196,-0.0372,0.0345,-4.2683,-6.6463,-5.122000000000001,1
0.1194,-0.0317,0.0394,-2.0732,-7.377999999999999,-2.5,1
0.1263,-0.0287,0.0578,2.5,-6.4634,-2.3171,1
0.1374,-0.0255,0.0643,2.3171,-3.5976,-7.2561,1
0.1274,-0.0189,0.0504,1.7683,8.7195,-4.5732,1
0.1132,-0.0178,0.046,4.2683,25.6098,-1.3415,1
0.1012,-0.0222,0.0488,5.9146,38.4756,-4.878,1
0.0955,-0.027000000000000003,0.0504,5.9756,44.0854,-3.4756,1
0.1006,-0.0292,0.0555,6.4024,39.5732,-0.7927,1
0.1011,-0.0312,0.0598,7.377999999999999,28.7805,-0.4878,1
0.1033,-0.0348,0.0604,5.4878,13.1098,-0.4268,1
0.105,-0.037000000000000005,0.0616,1.7683,-0.3049,0.0,1
0.1097,-0.0378,0.0607,0.5488,-7.0122,0.6707,1
0.1221,-0.0377,0.0676,-0.9146,-9.2683,0.4878,1
0.1237,-0.0363,0.0668,-3.0488,-7.0122,0.9756,1
0.1111,-0.0357,0.0568,-0.7317,6.6463,0.7927,1
0.10300000000000001,-0.0364,0.0528,1.8902,21.9512,-0.1829,1
0.1065,-0.0369,0.057999999999999996,2.378,25.4268,-1.1585,1
0.1076,-0.034,0.0632,1.4634,20.4268,-0.4878,1
0.1022,-0.0309,0.0669,1.7073,16.0976,-0.061,1
0.1055,-0.0312,0.0664,1.7073,10.5488,-2.0122,1
0.1138,-0.0305,0.0714,-0.7927,-0.9146,-3.2317,1
0.1135,-0.0283,0.0726,-2.5,-7.2561,-2.5610000000000004,1
0.1113,-0.0286,0.0648,-2.0122,-1.7073,-2.8659,1
0.1136,-0.0285,0.0637,-1.4024,5.9756,-1.0976,1
0.1119,-0.0294,0.0658,0.1829,12.0732,0.4268,1
0.1035,-0.0298,0.0646,2.0122,17.8659,0.0,1
0.1024,-0.0298,0.0626,3.2317,19.6341,-2.3171,1
0.10800000000000001,-0.0291,0.0644,4.5122,16.8902,-3.7805,1
0.1171,-0.0285,0.0682,6.5244,17.0732,-2.622,1
0.1181,-0.0265,0.0677,7.377999999999999,23.4756,-1.1585,1
0.1071,-0.025,0.0631,8.0488,32.5,-0.1829,1
0.1074,-0.0274,0.0547,8.1707,39.2073,-0.6707,1
0.1165,-0.0283,0.0583,8.8415,36.8902,0.4268,1
0.1167,-0.0261,0.066,10.5488,30.0,2.8659,1
0.1073,-0.0251,0.0682,12.1951,32.1341,2.8659,1
0.0993,-0.0258,0.0668,11.8902,38.1098,2.8659,1
0.1013,-0.0274,0.0705,10.9756,37.622,3.2927,1
0.106,-0.0297,0.07200000000000001,9.4512,33.2317,3.0488,1
0.1071,-0.0327,0.0699,8.1707,30.7927,2.7439,1
0.1099,-0.0345,0.0693,6.2805,25.061,3.4756,1
0.1082,-0.0331,0.0689,3.4756,18.9024,4.0244,1
0.109,-0.03,0.0698,3.1098,16.7683,2.9268,1
