x-axis,y-axis,z-axis,xg-axis,yg-axis,zg-axis,activity
1.1916,0.1284,0.5101,-33.9634,-68.7805,82.0732,1
1.1903,0.0851,0.4983,-35.9146,-84.6951,91.5244,1
1.2512,0.1434,0.4476,-24.8171,-97.8049,103.8415,1
1.3083,0.2542,0.2525,-4.0244,-103.0488,115.6707,1
1.1816,0.1628,0.078,7.561,-75.9756,117.9878,1
1.0292,0.1169,-0.0157,6.0366,-22.0122,122.0732,1
1.0758,0.0283,0.07400000000000001,8.9024,25.0,132.6219,1
1.0332,-0.0883,0.2108,15.6707,64.3293,139.5122,1
0.8206,-0.1335,0.2766,19.3902,101.0366,141.6463,1
0.5337,-0.1684,0.3109,26.0366,116.3415,134.8781,1
0.3968,-0.2698,0.3804,31.0976,90.9756,127.2561,1
0.4615,-0.3201,0.4266,37.1951,34.878,122.6829,1
0.4984,-0.2091,0.4432,52.3171,-32.8659,124.2073,1
0.4461,-0.1765,0.4243,75.6707,-93.9634,114.939,1
0.4442,-0.3193,0.3444,86.8293,-128.3537,97.8659,1
0.4734,-0.5018,0.3533,83.7805,-129.6342,84.6951,1
0.5426,-0.5377,0.4832,84.6951,-109.0244,76.4634,1
0.594,-0.5329,0.5247,91.0366,-73.9634,69.939,1
0.5333,-0.5494,0.4528,87.5,-34.7561,60.6707,1
0.4586,-0.6089,0.4542,75.5488,-12.5,51.7073,1
0.4414,-0.6371,0.5391,75.2439,-17.6829,37.3171,1
0.479,-0.6115,0.6838,80.9146,-38.1098,17.6829,1
0.4678,-0.5710000000000001,0.7923,80.8537,-59.8781,-7.0732,1
0.3769,-0.5458,0.8011,78.1098,-79.3293,-35.4878,1
0.2451,-0.535,0.6678,79.8171,-98.9024,-65.9146,1
0.03,-0.4711,0.5432,79.8171,-127.439,-89.939,1
-0.059000000000000004,-0.3812,0.3977,75.1829,-173.6585,-99.7561,1
0.2099,-0.3687,0.3843,62.43899999999999,-228.5976,-103.2927,1
0.6334,-0.2463,0.4718,54.3293,-265.9756,-102.8659,1
1.0972,-0.1676,0.5788,38.2317,-271.5244,-96.8293,1
1.3802,-0.15,0.6367,17.9268,-243.1098,-92.1341,1
1.4144,-0.1279,0.6147,3.9634,-196.8293,-91.2805,1
1.3922,-0.0894,0.5161,-4.3293,-152.9268,-95.4878,1
1.2664,-0.0643,0.387,-9.939,-125.1829,-102.6829,1
1.0909,-0.0897,0.2088,-19.7561,-115.8537,-107.9268,1
0.7855,-0.1964,-0.0604,-30.5488,-120.9756,-109.2073,1
0.6215,-0.1524,-0.2232,-36.0976,-142.0732,-101.5854,1
0.9484,-0.0042,-0.1271,-44.5732,-181.0366,-80.9146,1
1.5992,-0.1699,-0.1123,-46.0976,-223.5366,-64.1463,1
1.9999,-0.1878,-0.1281,-55.3659,-241.2805,-36.7683,1
1.8894,-0.098,-0.3267,-49.4512,-241.0366,2.0122,1
1.0156,-0.1401,-0.47200000000000003,-22.378,-210.3049,15.5488,1
0.6951,-0.2131,-0.3878,-10.061,-202.8049,21.2195,1
0.81,-0.2173,-0.272,-8.9024,-226.2805,17.2561,1
0.9162,-0.1178,-0.1906,-11.5244,-229.7561,12.6829,1
0.9833,-0.0659,-0.1935,-11.6463,-209.0244,2.9878,1
0.9542,-0.0733,-0.3149,-11.7683,-173.2927,-8.2317,1
0.958,-0.0736,-0.3981,-17.1951,-132.439,-16.7683,1
1.0496,-0.0567,-0.4449,-24.1463,-98.5366,-17.622,1
1.1105,-0.0709,-0.478,-23.3537,-83.8415,-13.1707,1
1.1104,-0.0684,-0.4663,-16.2195,-83.1098,-6.8902,1
1.0297,-0.0534,-0.45399999999999996,-4.939,-80.3659,-3.2317,1
0.8982,-0.0406,-0.41700000000000004,5.0,-72.3171,-5.2439,1
0.9139,-0.0383,-0.3954,10.061,-68.8415,-6.4024,1
0.9664,-0.0341,-0.3994,11.4634,-69.5732,-7.6829,1
1.0249,-0.0157,-0.4319,7.9268,-69.5122,-8.8415,1
0.9875,-0.027000000000000003,-0.4654,3.9634,-69.1463,-8.5366,1
0.8956,-0.0499,-0.4479,0.8537,-72.1341,-6.6463,1
0.8668,-0.0389,-0.4037,-2.1951,-75.7317,-3.3537,1
0.838,-0.0391,-0.3715,-5.122000000000001,-80.7317,0.7927,1
0.8415,-0.045,-0.3685,-9.5732,-84.0854,2.439,1
0.8943,-0.0429,-0.4248,-10.9146,-83.3537,6.2805,1
0.8559,-0.0548,-0.5142,-10.6098,-79.5122,11.4634,1
0.856,-0.0623,-0.5452,-10.5488,-79.5122,14.0854,1
0.8785,-0.0563,-0.5416,-9.5732,-80.8537,16.0366,1
0.8332,-0.0773,-0.5825,-10.0,-77.9268,18.4756,1
1.0629,-0.18100000000000002,-0.6113,-10.8537,-73.9634,21.8902,1
1.0109,-0.1439,-0.6586,-9.8171,-72.0122,24.878,1
0.818,-0.0431,-0.6325,-18.0488,-54.5732,13.1707,1
0.8593,-0.0657,-0.5815,-11.0366,-22.0122,6.5244,1
0.8576,-0.0733,-0.5483,2.8659,-6.4024,10.7317,1
